c Exact - branch main commit 8dac976
c Reading input file, expected format is wbo
c #vars 1975 #constraints 1873
c PRESOLVE
c     bounds 15931 >= 0 @ 0.255049, 234
c     bounds 6144 >= 0 @ 0.261884, 236
c     bounds 6126 >= 0 @ 0.264988, 238
c     bounds 6042 >= 0 @ 0.271048, 242
c     bounds 5962 >= 0 @ 0.27694, 244
c     bounds 5961 >= 0 @ 0.279648, 244
c     bounds 5960 >= 0 @ 0.281969, 244
c     bounds 5959 >= 0 @ 0.286312, 244
c     bounds 5958 >= 0 @ 0.290864, 244
c     bounds 5953 >= 0 @ 0.296014, 244
c     bounds 5948 >= 0 @ 0.301683, 244
c     bounds 5947 >= 0 @ 0.308779, 244
c     bounds 5942 >= 0 @ 0.311629, 244
c     bounds 5941 >= 0 @ 0.313918, 244
c     bounds 5940 >= 0 @ 0.320386, 244
c     bounds 5939 >= 0 @ 0.324764, 244
c     bounds 5938 >= 0 @ 0.332209, 244
c     bounds 5937 >= 0 @ 0.33549, 244
c     bounds 5936 >= 0 @ 0.339389, 244
c     bounds 5933 >= 0 @ 0.349137, 244
c     bounds 5932 >= 0 @ 0.351268, 244
c     bounds 5922 >= 0 @ 0.353832, 244
c     bounds 5911 >= 0 @ 0.356046, 244
c     bounds 5901 >= 0 @ 0.360652, 244
c     bounds 5896 >= 0 @ 0.363029, 244
c     bounds 5895 >= 0 @ 0.365074, 244
c     bounds 5877 >= 0 @ 0.367782, 244
c     bounds 5856 >= 0 @ 0.374327, 244
c     bounds 5840 >= 0 @ 0.378769, 244
c     bounds 5817 >= 0 @ 0.385126, 244
c     bounds 5816 >= 0 @ 0.38882, 244
c     bounds 5815 >= 0 @ 0.391668, 244
c     bounds 5782 >= 0 @ 0.395052, 244
c     bounds 5761 >= 0 @ 0.397884, 244
c     bounds 5741 >= 0 @ 0.400314, 244
c     bounds 5704 >= 0 @ 0.402969, 244
c     bounds 5676 >= 0 @ 0.405953, 244
c     bounds 5674 >= 0 @ 0.408675, 244
c     bounds 5673 >= 0 @ 0.410814, 244
c     bounds 5672 >= 0 @ 0.412894, 244
c     bounds 5671 >= 0 @ 0.417558, 244
c     bounds 5670 >= 0 @ 0.421827, 244
c     bounds 5658 >= 0 @ 0.428027, 244
c     bounds 5592 >= 0 @ 0.432659, 244
c     bounds 5588 >= 0 @ 0.442015, 244
c     bounds 5559 >= 0 @ 0.448591, 244
c     bounds 5540 >= 0 @ 0.455915, 244
c     bounds 5532 >= 0 @ 0.458818, 244
c     bounds 5531 >= 0 @ 0.461408, 244
c     bounds 5530 >= 0 @ 0.465218, 244
c     bounds 5528 >= 0 @ 0.467773, 244
c     bounds 5517 >= 0 @ 0.47093, 244
c     bounds 5498 >= 0 @ 0.476109, 244
c     bounds 5494 >= 0 @ 0.480679, 244
c     bounds 5450 >= 0 @ 0.483682, 244
c     bounds 5448 >= 0 @ 0.487019, 244
c     bounds 5390 >= 0 @ 0.490806, 244
c     bounds 5327 >= 0 @ 0.493631, 244
c     bounds 5326 >= 0 @ 0.499544, 244
c     bounds 5315 >= 0 @ 0.505314, 244
c     bounds 5312 >= 0 @ 0.509483, 244
c     bounds 5311 >= 0 @ 0.515781, 244
c     bounds 5310 >= 0 @ 0.51891, 244
c     bounds 5306 >= 0 @ 0.523992, 244
c     bounds 5298 >= 0 @ 0.532001, 244
c     bounds 5289 >= 0 @ 0.534536, 244
c     bounds 5283 >= 0 @ 0.538331, 244
c     bounds 5275 >= 0 @ 0.542381, 244
c     bounds 5204 >= 0 @ 0.545325, 244
c     bounds 5192 >= 0 @ 0.548076, 244
c     bounds 5185 >= 0 @ 0.554149, 244
c     bounds 5181 >= 0 @ 0.557276, 244
c     bounds 5179 >= 0 @ 0.559968, 244
c     bounds 5175 >= 0 @ 0.562655, 244
c     bounds 5162 >= 0 @ 0.565393, 244
c     bounds 5145 >= 0 @ 0.567796, 244
c     bounds 5103 >= 0 @ 0.570401, 244
c     bounds 5017 >= 0 @ 0.575292, 244
c     bounds 5010 >= 0 @ 0.580763, 244
c     bounds 4920 >= 0 @ 0.590051, 244
c     bounds 4901 >= 0 @ 0.596797, 244
c     bounds 4891 >= 0 @ 0.602069, 244
c     bounds 4884 >= 0 @ 0.604879, 244
c     bounds 4881 >= 0 @ 0.607685, 244
c     bounds 4880 >= 0 @ 0.610037, 244
c     bounds 4878 >= 0 @ 0.615898, 244
c     bounds 4872 >= 0 @ 0.623917, 244
c     bounds 4862 >= 0 @ 0.629422, 244
c     bounds 4844 >= 0 @ 0.645196, 244
c     bounds 4842 >= 0 @ 0.652614, 244
c     bounds 4815 >= 0 @ 0.655721, 244
c     bounds 4792 >= 0 @ 0.662931, 244
c     bounds 4786 >= 0 @ 0.669828, 244
c     bounds 4782 >= 0 @ 0.674558, 244
c     bounds 4775 >= 0 @ 0.679493, 244
c     bounds 4769 >= 0 @ 0.684346, 244
c     bounds 4754 >= 0 @ 0.687728, 244
c     bounds 4749 >= 0 @ 0.694598, 244
c     bounds 4748 >= 0 @ 0.699257, 244
c     bounds 4738 >= 0 @ 0.702529, 244
c     bounds 4735 >= 0 @ 0.708155, 244
c     bounds 4734 >= 0 @ 0.710477, 244
c     bounds 4733 >= 0 @ 0.712495, 244
c     bounds 4730 >= 0 @ 0.715004, 244
c     bounds 4729 >= 0 @ 0.727711, 244
c     bounds 4724 >= 0 @ 0.73321, 244
c     bounds 4723 >= 0 @ 0.742908, 244
c     bounds 4709 >= 0 @ 0.748719, 244
c     bounds 4682 >= 0 @ 0.754184, 244
c     bounds 4644 >= 0 @ 0.758693, 244
c     bounds 4636 >= 0 @ 0.764305, 244
c     bounds 4621 >= 0 @ 0.769937, 244
c     bounds 4616 >= 0 @ 0.776272, 244
c     bounds 4615 >= 0 @ 0.780577, 244
c     bounds 4612 >= 0 @ 0.785273, 244
c     bounds 4600 >= 0 @ 0.790118, 244
c     bounds 4573 >= 0 @ 0.796335, 244
c     bounds 4568 >= 0 @ 0.801548, 244
c     bounds 4541 >= 0 @ 0.812957, 244
c     bounds 4526 >= 0 @ 0.819032, 244
c     bounds 4521 >= 0 @ 0.828876, 244
c     bounds 4520 >= 0 @ 0.833648, 244
c     bounds 4511 >= 0 @ 0.839021, 244
c     bounds 4508 >= 0 @ 0.844717, 244
c     bounds 4507 >= 0 @ 0.852268, 244
c     bounds 4506 >= 0 @ 0.856633, 244
c     bounds 4503 >= 0 @ 0.863521, 244
c     bounds 4498 >= 0 @ 0.868933, 244
c     bounds 4497 >= 0 @ 0.876471, 244
c     bounds 4436 >= 0 @ 0.882181, 244
c     bounds 4424 >= 0 @ 0.886464, 244
c     bounds 4333 >= 0 @ 0.89223, 244
c     bounds 4252 >= 0 @ 0.897098, 244
c     bounds 4237 >= 0 @ 0.900352, 244
c     bounds 4236 >= 0 @ 0.90259, 244
c     bounds 4227 >= 0 @ 0.907882, 244
c     bounds 4221 >= 0 @ 0.915496, 244
c     bounds 4205 >= 0 @ 0.920672, 244
c     bounds 4149 >= 0 @ 0.928837, 244
c     bounds 4096 >= 0 @ 0.937449, 244
c     bounds 4081 >= 0 @ 0.94404, 244
c     bounds 4076 >= 0 @ 0.950055, 244
c     bounds 4075 >= 0 @ 0.956084, 244
c     bounds 4039 >= 0 @ 0.964513, 244
c     bounds 4027 >= 0 @ 0.96778, 244
c     bounds 3960 >= 0 @ 0.970985, 244
c     bounds 3956 >= 0 @ 0.975226, 244
c     bounds 3934 >= 0 @ 0.978526, 244
c     bounds 3931 >= 0 @ 0.98137, 244
c     bounds 3918 >= 0 @ 0.983884, 244
c     bounds 3869 >= 0 @ 0.98784, 244
c     bounds 3854 >= 0 @ 0.990785, 244
c     bounds 3850 >= 0 @ 0.993364, 244
c     bounds 3843 >= 0 @ 0.995988, 244
c     bounds 3828 >= 0 @ 1.00209, 244
c     bounds 3823 >= 0 @ 1.0081, 244
c     bounds 3822 >= 0 @ 1.01261, 244
c     bounds 3794 >= 0 @ 1.01811, 244
c     bounds 3782 >= 0 @ 1.02407, 244
c     bounds 3692 >= 0 @ 1.02688, 244
c     bounds 3631 >= 0 @ 1.02952, 244
c     bounds 3591 >= 0 @ 1.03516, 244
c     bounds 3579 >= 0 @ 1.04315, 244
c     bounds 3574 >= 0 @ 1.04988, 244
c     bounds 3572 >= 0 @ 1.05459, 244
c     bounds 3570 >= 0 @ 1.05743, 244
c     bounds 3569 >= 0 @ 1.06308, 244
c     bounds 3542 >= 0 @ 1.06589, 244
c     bounds 3510 >= 0 @ 1.06846, 244
c     bounds 3507 >= 0 @ 1.07411, 244
c     bounds 3495 >= 0 @ 1.07683, 244
c     bounds 3437 >= 0 @ 1.07952, 244
c     bounds 3422 >= 0 @ 1.08224, 244
c     bounds 3417 >= 0 @ 1.08484, 244
c     bounds 3416 >= 0 @ 1.08836, 244
c     bounds 3344 >= 0 @ 1.0939, 244
c     bounds 3269 >= 0 @ 1.10087, 244
c     bounds 3255 >= 0 @ 1.10506, 244
c     bounds 3248 >= 0 @ 1.10832, 244
c     bounds 3246 >= 0 @ 1.11357, 244
c     bounds 3245 >= 0 @ 1.1173, 244
c     bounds 3235 >= 0 @ 1.12375, 244
c     bounds 3188 >= 0 @ 1.12859, 244
c     bounds 3146 >= 0 @ 1.13409, 244
c     bounds 3077 >= 0 @ 1.14023, 244
c     bounds 2989 >= 0 @ 1.14569, 244
c     bounds 2934 >= 0 @ 1.15097, 244
c     bounds 2917 >= 0 @ 1.15822, 244
c     bounds 2910 >= 0 @ 1.16405, 244
c     bounds 2909 >= 0 @ 1.16844, 244
c     bounds 2908 >= 0 @ 1.17263, 244
c     bounds 2907 >= 0 @ 1.17666, 244
c     bounds 2906 >= 0 @ 1.17927, 244
c     bounds 2905 >= 0 @ 1.18168, 244
c     bounds 2904 >= 0 @ 1.18372, 244
c     bounds 2897 >= 0 @ 1.1864, 244
c     bounds 2857 >= 0 @ 1.18956, 244
c     bounds 2827 >= 0 @ 1.19378, 244
c     bounds 2826 >= 0 @ 1.19768, 244
c     bounds 2791 >= 0 @ 1.2004, 244
c     bounds 2708 >= 0 @ 1.20276, 244
c     bounds 2647 >= 0 @ 1.20493, 244
c     bounds 2622 >= 0 @ 1.20736, 244
c     bounds 2616 >= 0 @ 1.20994, 244
c     bounds 2615 >= 0 @ 1.21354, 244
c     bounds 2611 >= 0 @ 1.21889, 244
c     bounds 2585 >= 0 @ 1.22285, 244
c     bounds 2530 >= 0 @ 1.22848, 244
c     bounds 2440 >= 0 @ 1.23122, 244
c     bounds 2420 >= 0 @ 1.23349, 244
c     bounds 2419 >= 0 @ 1.23834, 244
c     bounds 2418 >= 0 @ 1.24195, 244
c     bounds 2416 >= 0 @ 1.24722, 244
c     bounds 2415 >= 0 @ 1.25118, 244
c     bounds 2410 >= 0 @ 1.25574, 244
c     bounds 2340 >= 0 @ 1.25936, 244
c     bounds 2339 >= 0 @ 1.26431, 244
c     bounds 2338 >= 0 @ 1.26815, 244
c     bounds 2325 >= 0 @ 1.27353, 244
c     bounds 2320 >= 0 @ 1.27798, 244
c     bounds 2319 >= 0 @ 1.28029, 244
c     bounds 2318 >= 0 @ 1.28349, 244
c     bounds 2242 >= 0 @ 1.28977, 244
c     bounds 2188 >= 0 @ 1.31677, 244
c     bounds 2147 >= 0 @ 1.32615, 244
c     bounds 2145 >= 0 @ 1.33605, 244
c     bounds 2065 >= 0 @ 1.34504, 244
c     bounds 1980 >= 0 @ 1.35091, 244
c     bounds 1967 >= 0 @ 1.36008, 244
c     bounds 1922 >= 0 @ 1.36663, 244
c     bounds 1913 >= 0 @ 1.37066, 244
c     bounds 1912 >= 0 @ 1.3745, 244
c     bounds 1911 >= 0 @ 1.37803, 244
c     bounds 1910 >= 0 @ 1.38103, 244
c     bounds 1899 >= 0 @ 1.38703, 244
c     bounds 1879 >= 0 @ 1.39218, 244
c     bounds 1877 >= 0 @ 1.39713, 244
c     bounds 1867 >= 0 @ 1.40085, 244
c     bounds 1860 >= 0 @ 1.40443, 244
c     bounds 1857 >= 0 @ 1.40988, 244
c     bounds 1856 >= 0 @ 1.41396, 244
c     bounds 1855 >= 0 @ 1.41743, 244
c     bounds 1854 >= 0 @ 1.41995, 244
c     bounds 1849 >= 0 @ 1.4242, 244
c     bounds 1840 >= 0 @ 1.42693, 244
c     bounds 1835 >= 0 @ 1.42952, 244
c     bounds 1834 >= 0 @ 1.43147, 244
c     bounds 1802 >= 0 @ 1.43401, 244
c     bounds 1801 >= 0 @ 1.43854, 244
c     bounds 1800 >= 0 @ 1.44221, 244
c     bounds 1768 >= 0 @ 1.44534, 244
c     bounds 1753 >= 0 @ 1.44921, 244
c     bounds 1748 >= 0 @ 1.45324, 244
c     bounds 1747 >= 0 @ 1.45724, 244
c     bounds 1733 >= 0 @ 1.46263, 244
c     bounds 1728 >= 0 @ 1.46555, 244
c     bounds 1727 >= 0 @ 1.46868, 244
c     bounds 1664 >= 0 @ 1.47433, 244
c     bounds 1652 >= 0 @ 1.47813, 244
c     bounds 1647 >= 0 @ 1.48328, 244
c     bounds 1629 >= 0 @ 1.48766, 244
c     bounds 1621 >= 0 @ 1.49253, 244
c     bounds 1620 >= 0 @ 1.49587, 244
c     bounds 1619 >= 0 @ 1.49878, 244
c     bounds 1617 >= 0 @ 1.50321, 244
c     bounds 1616 >= 0 @ 1.50747, 244
c     bounds 1573 >= 0 @ 1.52195, 244
c     bounds 1558 >= 0 @ 1.53315, 244
c     bounds 1553 >= 0 @ 1.54522, 244
c     bounds 1552 >= 0 @ 1.55129, 244
c     bounds 1482 >= 0 @ 1.55663, 244
c     bounds 1477 >= 0 @ 1.56182, 244
c     bounds 1476 >= 0 @ 1.57201, 244
c     bounds 1475 >= 0 @ 1.57663, 244
c     bounds 1474 >= 0 @ 1.58218, 244
c     bounds 1473 >= 0 @ 1.58673, 244
c     bounds 1472 >= 0 @ 1.59138, 244
c     bounds 1470 >= 0 @ 1.59554, 244
c     bounds 1468 >= 0 @ 1.60006, 244
c     bounds 1405 >= 0 @ 1.60527, 244
c     bounds 1390 >= 0 @ 1.61087, 244
c     bounds 1385 >= 0 @ 1.61582, 244
c     bounds 1384 >= 0 @ 1.61967, 244
c     bounds 1305 >= 0 @ 1.6242, 244
c     bounds 1256 >= 0 @ 1.62744, 244
c     bounds 1242 >= 0 @ 1.63001, 244
c     bounds 1236 >= 0 @ 1.63379, 244
c     bounds 1231 >= 0 @ 1.63708, 244
c     bounds 1230 >= 0 @ 1.63905, 244
c     bounds 1226 >= 0 @ 1.64254, 244
c     bounds 1218 >= 0 @ 1.64682, 244
c     bounds 1217 >= 0 @ 1.65161, 244
c     bounds 1216 >= 0 @ 1.65453, 244
c     bounds 1214 >= 0 @ 1.65716, 245
c     bounds 1209 >= 0 @ 1.6662, 249
c     bounds 1206 >= 0 @ 1.67236, 253
c     bounds 1205 >= 0 @ 1.67432, 253
c     bounds 1202 >= 0 @ 1.67669, 253
